Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G1545,"(0, 1, 3, 5, 4, 6, 7, 8, 9, 2)","(7, 8, 9, 2, 0, 1, 3, 5, 6, 4)",m12n243,7,0,G1545,G1546,G1546
G1546,"(0, 2, 5, 3, 4, 6, 7, 8, 9, 1)","(5, 8, 1, 9, 0, 2, 3, 4, 6, 7)",m12n243,7,0,G1546,G1545,G1545
G547,"(0, 6, 8, 7, 5, 2, 3, 9, 1, 4)","(5, 3, 4, 1, 9, 8, 0, 2, 6, 7)",12n280,-9,0,G550,G551,G552
G548,"(0, 5, 2, 4, 3, 6, 7, 1, 9, 8)","(3, 1, 9, 0, 7, 8, 5, 6, 4, 2)",12n280,-9,0,G549,G548,G549
G549,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(5, 9, 0, 3, 2, 4, 1, 6, 8, 7)",12n280,-9,0,G548,G549,G548
G550,"(0, 6, 8, 4, 2, 1, 3, 9, 5, 7)","(8, 9, 1, 0, 7, 5, 6, 4, 2, 3)",12n280,-9,0,G547,G552,G551
G551,"(0, 5, 8, 3, 2, 4, 1, 6, 9, 7)","(8, 9, 1, 0, 6, 7, 5, 3, 4, 2)",12n280,-9,0,G552,G547,G550
G552,"(0, 5, 2, 4, 3, 9, 1, 6, 8, 7)","(3, 1, 8, 0, 6, 5, 7, 9, 4, 2)",12n280,-9,0,G551,G550,G547
G1549,"(0, 9, 1, 3, 2, 5, 4, 7, 6, 8)","(4, 2, 7, 0, 8, 9, 6, 5, 1, 3)",m12n280,-1,0,G1551,G1551,G1549
G1550,"(0, 2, 8, 7, 1, 3, 5, 4, 6, 9)","(5, 7, 6, 9, 4, 8, 2, 0, 1, 3)",m12n280,-1,0,G1554,G1552,G1553
G1551,"(0, 1, 8, 7, 3, 5, 6, 4, 9, 2)","(4, 7, 6, 9, 8, 0, 2, 1, 3, 5)",m12n280,-1,0,G1549,G1549,G1551
G1552,"(0, 2, 6, 3, 7, 8, 5, 4, 9, 1)","(3, 8, 1, 9, 0, 4, 2, 6, 5, 7)",m12n280,-1,0,G1553,G1550,G1554
G1553,"(0, 9, 1, 3, 5, 6, 4, 8, 2, 7)","(8, 4, 6, 7, 0, 2, 1, 3, 5, 9)",m12n280,-1,0,G1552,G1554,G1550
G1554,"(0, 3, 1, 5, 4, 7, 8, 6, 9, 2)","(6, 8, 4, 3, 9, 0, 2, 1, 5, 7)",m12n280,-1,0,G1550,G1553,G1552
G553,"(0, 4, 3, 2, 7, 6, 8, 5, 1, 9)","(8, 9, 6, 5, 4, 1, 3, 0, 7, 2)",12n285,-9,0,G560,G555,G557
G554,"(0, 7, 5, 6, 9, 1, 4, 3, 2, 8)","(6, 3, 8, 1, 2, 7, 0, 9, 5, 4)",12n285,-9,0,G559,G558,G556
G555,"(0, 7, 2, 8, 9, 6, 5, 4, 1, 3)","(5, 1, 9, 0, 4, 3, 2, 7, 6, 8)",12n285,-9,0,G557,G553,G560
G556,"(0, 3, 2, 1, 7, 8, 6, 4, 9, 5)","(8, 9, 6, 4, 3, 5, 0, 7, 2, 1)",12n285,-9,0,G558,G559,G554
G557,"(0, 9, 5, 3, 2, 4, 7, 8, 6, 1)","(4, 2, 1, 0, 6, 8, 9, 5, 3, 7)",12n285,-9,0,G555,G560,G553
G558,"(0, 9, 5, 4, 6, 3, 8, 1, 2, 7)","(4, 3, 2, 8, 0, 7, 5, 6, 9, 1)",12n285,-9,0,G556,G554,G559
G559,"(0, 8, 7, 9, 4, 1, 6, 5, 2, 3)","(6, 5, 1, 2, 0, 8, 3, 9, 4, 7)",12n285,-9,0,G554,G556,G558
G560,"(0, 8, 7, 6, 2, 4, 5, 1, 9, 3)","(6, 5, 1, 9, 8, 0, 3, 4, 2, 7)",12n285,-9,0,G553,G557,G555
G1555,"(0, 1, 2, 6, 8, 9, 7, 4, 3, 5)","(4, 7, 9, 0, 1, 5, 3, 2, 6, 8)",m12n285,-1,0,?,G1556,?
G1556,"(0, 1, 5, 3, 2, 6, 8, 4, 7, 9)","(6, 8, 9, 7, 4, 3, 5, 0, 1, 2)",m12n285,-1,0,?,G1555,?
G561,"(0, 8, 6, 4, 5, 2, 3, 1, 9, 7)","(3, 1, 9, 7, 0, 6, 8, 4, 5, 2)",12n293,-13,-2,--,--,G561
